,PHU_orig,PHU_dest,week,flow
0,2226,2226,2020-01-06,292540.0
1,2226,2226,2020-01-13,315370.0
2,2226,2226,2020-01-20,322130.0
3,2226,2226,2020-01-27,319710.0
4,2226,2226,2020-02-03,337440.0
5,2226,2226,2020-02-10,329230.0
6,2226,2226,2020-02-17,293270.0
7,2226,2226,2020-02-24,329730.0
8,2226,2226,2020-03-02,345480.0
9,2226,2226,2020-03-09,340980.0
10,2226,2226,2020-03-16,288440.0
11,2226,2226,2020-03-23,260930.0
12,2226,2226,2020-03-30,265650.0
13,2226,2226,2020-04-06,254630.0
14,2226,2226,2020-04-13,266080.0
15,2226,2226,2020-04-20,271100.0
16,2226,2226,2020-04-27,262710.0
17,2226,2226,2020-05-04,263410.0
18,2226,2226,2020-05-11,273250.0
19,2226,2226,2020-05-18,271620.0
20,2226,2226,2020-05-25,300560.0
21,2226,2226,2020-06-01,310350.0
22,2226,2226,2020-06-08,314460.0
23,2226,2226,2020-06-15,327330.0
24,2226,2226,2020-06-22,329640.0
25,2226,2226,2020-06-29,310100.0
26,2226,2226,2020-07-06,320860.0
27,2226,2226,2020-07-13,319020.0
28,2226,2226,2020-07-20,331390.0
29,2226,2226,2020-07-27,315810.0
30,2226,2226,2020-08-03,288150.0
31,2226,2226,2020-08-10,334620.0
32,2226,2226,2020-08-17,344290.0
33,2226,2226,2020-08-24,363850.0
34,2226,2226,2020-08-31,371340.0
35,2226,2226,2020-09-07,342930.0
36,2226,2226,2020-09-14,374370.0
37,2226,2226,2020-09-21,370700.0
38,2226,2226,2020-09-28,366590.0
39,2226,2226,2020-10-05,366900.0
40,2226,2226,2020-10-12,328540.0
41,2226,2226,2020-10-19,357870.0
42,2226,2226,2020-10-26,368300.0
43,2226,2226,2020-11-02,384820.0
44,2226,2226,2020-11-09,371450.0
45,2226,2226,2020-11-16,374110.0
46,2226,2226,2020-11-23,384300.0
47,2226,2226,2020-11-30,371810.0
48,2226,2226,2020-12-07,359540.0
49,2226,2226,2020-12-14,331370.0
50,2226,2226,2020-12-21,283160.0
51,2226,2226,2020-12-28,167190.0
52,2226,2227,2020-02-10,20.0
53,2226,2227,2020-02-17,30.0
54,2226,2227,2020-02-24,20.0
55,2226,2227,2020-03-02,120.0
56,2226,2227,2020-03-09,80.0
57,2226,2227,2020-04-13,30.0
58,2226,2227,2020-04-20,110.0
59,2226,2227,2020-04-27,120.0
60,2226,2227,2020-05-04,150.0
61,2226,2227,2020-05-11,270.0
62,2226,2227,2020-06-01,270.0
63,2226,2227,2020-06-08,60.0
64,2226,2227,2020-06-22,40.0
65,2226,2227,2020-07-13,70.0
66,2226,2227,2020-07-20,70.0
67,2226,2227,2020-07-27,60.0
68,2226,2227,2020-08-03,50.0
69,2226,2227,2020-08-17,160.0
70,2226,2227,2020-08-24,180.0
71,2226,2227,2020-08-31,40.0
72,2226,2227,2020-09-14,90.0
73,2226,2227,2020-09-21,120.0
74,2226,2227,2020-09-28,430.0
75,2226,2227,2020-10-05,60.0
76,2226,2227,2020-11-02,100.0
77,2226,2227,2020-11-09,110.0
78,2226,2227,2020-11-16,240.0
79,2226,2227,2020-11-23,360.0
80,2226,2227,2020-11-30,30.0
81,2226,2227,2020-12-07,60.0
82,2226,2227,2020-12-21,210.0
83,2226,2227,2020-12-28,90.0
84,2226,2230,2020-01-06,140.0
85,2226,2230,2020-01-13,230.0
86,2226,2230,2020-01-20,690.0
87,2226,2230,2020-01-27,320.0
88,2226,2230,2020-02-03,240.0
89,2226,2230,2020-02-10,150.0
90,2226,2230,2020-02-17,1470.0
91,2226,2230,2020-02-24,730.0
92,2226,2230,2020-03-02,720.0
93,2226,2230,2020-03-09,650.0
94,2226,2230,2020-03-16,490.0
95,2226,2230,2020-03-23,580.0
96,2226,2230,2020-03-30,320.0
97,2226,2230,2020-04-06,80.0
98,2226,2230,2020-04-13,190.0
99,2226,2230,2020-04-20,220.0
100,2226,2230,2020-04-27,140.0
101,2226,2230,2020-05-04,160.0
102,2226,2230,2020-05-11,390.0
103,2226,2230,2020-05-18,180.0
104,2226,2230,2020-05-25,770.0
105,2226,2230,2020-06-01,540.0
106,2226,2230,2020-06-08,250.0
107,2226,2230,2020-06-15,490.0
108,2226,2230,2020-06-22,610.0
109,2226,2230,2020-06-29,370.0
110,2226,2230,2020-07-06,1010.0
111,2226,2230,2020-07-13,780.0
112,2226,2230,2020-07-20,650.0
113,2226,2230,2020-07-27,500.0
114,2226,2230,2020-08-03,410.0
